,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,carbohydrates_g,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
417,broccoli raab raw,9,0.2,0.047,0.0,0.04,1.1,1.1,0.2,1.3,0.0,0.064,0.074
418,napa cabbage cooked,13,0.2,0.0,0.0,0.012,2.4,0.0,0.0,1.2,0.0,3.5,31.6
419,kelp,2,0.067,0.037,0.0,0.019,0.5,0.018,0.069,0.07,0.0,0.2,8.4
420,shallots raw,18,0.061,0.041,0.0,0.044,4.2,0.8,2.0,0.6,0.0,0.016,0.007
421,bamboo shoots raw,49,0.5,0.1,0.0,0.067,9.4,4.0,5.4,4.7,0.0,0.4,0.0
422,jute cooked,32,0.2,0.004,0.0,0.043,6.3,1.7,0.9,3.2,0.0,28.7,183.6
423,red lettuce,4,0.08,0.036,0.0,0.057,0.6,0.3,0.1,0.4,0.0,0.026,0.021
424,broccoli cooked,98,1.1,0.2,0.0,0.1,20.1,9.2,3.9,6.7,0.0,0.6,0.4
425,romanesco raw,20,0.2,0.038,0.0,0.025,3.9,2.0,1.9,1.9,0.0,56.4,21.1
426,eggplant raw,115,0.8,0.2,0.0,0.028,26.9,13.7,16.2,4.5,0.0,10.1,41.2
427,leeks raw,54,0.3,0.049,0.0,0.003,12.6,1.6,3.5,1.3,0.0,0.2,0.011
428,lemongrass citronella,5,0.076,0.067,0.0,0.024,1.2,0.0,0.0,0.038,0.0,0.1,3.1
429,pumpkin cooked,49,0.2,0.019,0.0,0.006,12.0,2.7,5.1,1.8,0.0,0.1,0.098
430,celery cooked,7,0.098,0.064,0.0,0.093,1.5,0.6,0.9,0.3,0.0,2.3,15.8
431,serrano pepper,2,0.075,0.072,0.0,0.067,0.4,0.2,0.2,0.1,0.0,0.099,0.021
432,nopales raw,14,0.063,0.018,0.0,0.076,2.9,1.9,1.0,1.1,0.0,8.0,141.0
433,sweet potato leaves cooked,22,0.2,0.099,0.0,0.2,4.7,1.2,3.5,1.4,0.0,1.0,21.1
434,eggplant cooked,33,0.2,0.049,0.0,0.2,8.1,2.5,3.2,0.8,0.0,1.3,5.9
435,asparagus cooked,3,0.074,0.004,0.0,0.0,0.6,0.3,0.2,0.4,0.0,0.022,0.099
436,rutabaga cooked,72,0.4,0.007,0.0,0.049,16.4,4.3,9.5,2.2,0.0,45.1,43.2
437,parsnips raw,128,0.5,0.1,0.0,0.068,30.6,8.3,8.2,2.0,0.0,0.2,0.055
438,sour pickles,17,0.3,0.079,0.0,1.9,3.5,1.9,1.6,0.5,0.0,1.6,0.0
439,turnip greens cooked,29,0.3,0.091,0.0,0.4,6.3,5.0,0.8,1.6,0.0,39.5,197.3
440,jerusalem artichokes,110,0.047,0.0,0.0,0.011,26.2,2.4,14.4,3.0,0.0,6.0,21.0
441,collard raw,12,0.2,0.026,0.0,0.014,2.0,1.4,0.2,1.1,0.0,0.003,0.2
442,chrysanthemum cooked,20,0.036,0.0,0.0,0.042,4.3,2.3,2.0,1.6,0.0,0.1,0.1
443,oriental radish dried,314,0.8,0.3,0.0,0.3,73.5,27.7,43.3,9.2,0.0,0.0,729.6
444,tomatillos,42,1.3,0.2,0.0,0.019,7.7,2.5,5.2,1.3,0.0,15.4,9.2
445,taro shoots raw,9,0.069,0.016,0.0,0.056,2.0,0.0,0.0,0.8,0.0,18.1,10.3
446,acorn squash raw,172,0.4,0.091,0.0,0.017,44.9,6.5,0.0,3.4,0.0,47.4,142.2
447,leeks dried,10,0.026,0.08,0.0,0.077,2.4,0.3,0.0,0.5,0.0,3.8,11.5
448,cabbage raw,70,0.3,0.054,0.0,0.006,16.2,7.0,9.0,3.6,0.0,0.3,0.2
449,sweet red peppers cooked,19,0.1,0.012,0.0,0.2,4.5,0.9,3.2,0.7,0.0,124.8,6.6
450,sweet red peppers raw,46,0.4,0.088,0.0,0.092,9.0,3.1,6.3,1.5,0.0,190.3,10.4
451,cucumber peeled,16,0.2,0.1,0.0,0.098,2.9,0.9,1.8,0.8,0.0,0.082,0.052
452,purslane raw,9,0.2,0.0,0.0,0.066,1.5,0.0,0.0,0.9,0.0,9.0,28.0
453,peas onions cooked,81,0.4,0.055,0.0,0.5,15.5,4.0,6.8,4.6,0.0,12.4,25.2
454,tomato cooked,22,0.1,0.086,0.0,0.029,4.9,0.9,3.1,1.2,0.0,0.096,0.054
455,taro shoots cooked,20,0.1,0.068,0.0,0.3,4.5,0.0,0.0,1.0,0.0,26.5,19.6
456,scots kale raw,28,0.4,0.072,0.0,0.059,5.6,1.1,0.0,1.9,0.0,87.1,137.4
457,artichoke raw,60,0.2,0.056,0.0,0.1,13.5,6.9,1.3,4.2,0.0,0.1,0.045
458,navy bean sprouts raw,70,0.7,0.05,0.0,0.063,13.6,0.0,0.0,6.4,0.0,19.6,15.6
459,sweet pickles,146,0.7,0.1,0.0,0.7,33.8,1.6,29.2,0.9,0.0,1.1,97.6
460,oriental radish cooked,25,0.4,0.1,0.0,0.4,5.0,2.4,2.7,1.0,0.0,22.2,25.0
461,sweet potato leaves raw,15,0.2,0.088,0.0,0.073,3.1,1.9,0.0,0.9,0.0,3.9,27.3
462,irishmoss,2,0.049,0.06,0.0,0.084,0.6,0.082,0.098,0.037,0.0,0.2,3.6
463,drumstick leaves cooked,25,0.4,0.0,0.0,0.1,4.7,0.8,0.4,2.2,0.0,13.0,63.4
464,winter squash raw,39,0.2,0.019,0.0,0.027,10.0,1.7,2.6,1.1,0.0,14.3,32.5
465,pumpkin raw,30,0.1,0.065,0.0,0.062,7.5,0.6,3.2,1.2,0.0,10.4,24.4
466,chicory greens,7,0.096,0.078,0.0,0.017,1.4,1.2,0.2,0.5,0.0,0.062,0.079
467,spinach cooked,41,0.5,0.042,0.0,0.1,6.8,4.3,0.8,5.3,0.0,0.4,0.9
468,radish pickled,42,0.5,0.1,0.0,1.2,7.8,3.3,3.0,1.7,0.0,0.0,42.0
469,sweet onion,106,0.3,0.0,0.0,0.063,25.0,3.0,16.6,2.6,0.0,0.4,0.033
